quote,character,source
"Tony Stark la pudo construir en una cueva, con un poco de metal",Obadiah Stane,Iron Man
"Vida antes que muerte. Fuerza antes que debilidad. Viaje antes que destino.",Kaladin,"The Way of Kings: The Stormlight Archive"
"¿Final? No este no es el final de la jornada, la muerte solo es otro camino que todos recorren. La cortina de lluvia gris del mundo se abre y se transforma en plata y cristal, después lo ves. Blancas costas y más allá un país lejano y verde, a la luz de un amanecer.",Gandalf,"El Señor de los Anillos"
